;;NE;Start;End;X1 Average User Number ;X2 L.DLPwr.Avg;Y L.UL.Interference.Avg;X3 RA Success Rate;X4 RRC Setup Success Rate (Service);X5 TA Mean
;;44_KOS0001C_101L18_O_MORSKA_18;11.05.2023 09:00;11.05.2023 10:00;36,4986;44,7;-116;94,7205;100;0,9226
;;44_KOS0001C_101L18_O_MORSKA_18;11.05.2023 10:00;11.05.2023 11:00;35,0706;44,8;-116;79,6836;100;0,9137
;;44_KOS0001C_101L18_O_MORSKA_18;11.05.2023 11:00;11.05.2023 12:00;41,4917;44,2;-115;83,8156;99,8442;0,9272
;;44_KOS0001C_101L18_O_MORSKA_18;11.05.2023 12:00;11.05.2023 13:00;35,33;44,7;-115;90,863;100;0,9179
;;44_KOS0001C_101L18_O_MORSKA_18;11.05.2023 13:00;11.05.2023 14:00;33,9594;45,7;-116;91,3535;100;0,9445
;;44_KOS0001C_101L18_O_MORSKA_18;11.05.2023 14:00;11.05.2023 15:00;38,8667;46,2;-115;89,8279;100;0,9436
;;44_KOS0001C_101L18_O_MORSKA_18;11.05.2023 15:00;11.05.2023 16:00;46,2406;46,9;-116;93,7682;99,9323;0,9326
;;44_KOS0001C_101L18_O_MORSKA_18;11.05.2023 16:00;11.05.2023 17:00;44,0111;45,8;-116;94,492;100;0,9903
;;44_KOS0001C_101L18_O_MORSKA_18;11.05.2023 17:00;11.05.2023 18:00;44,4279;46,6;-116;87,356;99,9298;0,9536
;;44_KOS0001C_101L18_O_MORSKA_18;11.05.2023 18:00;11.05.2023 19:00;42,3127;46;-116;91,9434;99,9739;0,9174
;;44_KOS0001C_101L18_O_MORSKA_18;11.05.2023 19:00;11.05.2023 20:00;42,2719;45,7;-115;92,9005;99,9712;1,0043
;;44_KOS0001C_101L18_O_MORSKA_18;11.05.2023 20:00;11.05.2023 21:00;41,5425;46,5;-114;91,2139;100;0,9198
;;44_KOS0001C_101L18_O_MORSKA_18;11.05.2023 21:00;11.05.2023 22:00;39,9525;46,7;-114;91,6873;99,973;0,8937
;;44_KOS0001C_101L18_O_MORSKA_18;11.05.2023 22:00;11.05.2023 23:00;37,9767;46,7;-115;94,3324;100;0,8634
;;44_KOS0001C_101L18_O_MORSKA_18;11.05.2023 23:00;12.05.2023 00:00;39,2075;44,8;-115;88,615;100;0,8354
;;44_KOS0001C_101L18_O_MORSKA_18;12.05.2023 00:00;12.05.2023 01:00;25,5747;41,7;-116;85,6233;99,9647;0,8136
;;44_KOS0001C_101L18_O_MORSKA_18;12.05.2023 01:00;12.05.2023 02:00;18,172;41,3;-116;81,3468;100;0,8375
;;44_KOS0001C_101L18_O_MORSKA_18;12.05.2023 02:00;12.05.2023 03:00;17,025;40,5;-116;82,4799;99,96;0,9621
;;44_KOS0001C_101L18_O_MORSKA_18;12.05.2023 03:00;12.05.2023 04:00;40,9269;42,4;-116;91,1846;100;0,7774
;;44_KOS0001C_101L18_O_MORSKA_18;12.05.2023 04:00;12.05.2023 05:00;16,385;41;-116;88,9776;99,9627;0,8028
;;44_KOS0001C_101L18_O_MORSKA_18;12.05.2023 05:00;12.05.2023 06:00;17,1009;41,6;-116;88,6277;100;0,8256
;;44_KOS0001C_101L18_O_MORSKA_18;12.05.2023 06:00;12.05.2023 07:00;23,7092;42,6;-117;90,4397;100;0,8842
;;44_KOS0001C_101L18_O_MORSKA_18;12.05.2023 07:00;12.05.2023 08:00;39,1742;43,6;-116;96,7106;99,9759;0,8711
;;44_KOS0001C_101L18_O_MORSKA_18;12.05.2023 08:00;12.05.2023 09:00;39,7789;43,2;-116;94,6114;100;0,9179
;;44_KOS0001C_101L18_O_MORSKA_18;12.05.2023 09:00;12.05.2023 10:00;35,1423;44,5;-116;92,2642;99,9736;0,9688
;;44_KOS0001C_101L18_O_MORSKA_18;12.05.2023 10:00;12.05.2023 11:00;45,8839;45,2;-116;94,4495;100;0,9239
;;44_KOS0001C_101L18_O_MORSKA_18;12.05.2023 11:00;12.05.2023 12:00;45,6006;46,6;-116;92,8883;100;0,9685
;;44_KOS0001C_101L18_O_MORSKA_18;12.05.2023 12:00;12.05.2023 13:00;33,7863;47;-116;93,6935;100;0,946
;;44_KOS0001C_101L18_O_MORSKA_18;12.05.2023 13:00;12.05.2023 14:00;35,9903;47,4;-116;93,3547;99,9108;0,9254
;;44_KOS0001C_101L18_O_MORSKA_18;12.05.2023 14:00;12.05.2023 15:00;37,0286;47,5;-116;90,9633;100;0,931
;;44_KOS0001C_101L18_O_MORSKA_18;12.05.2023 15:00;12.05.2023 16:00;59,2147;47;-115;89,1546;99,9032;0,9473
;;44_KOS0001C_101L18_O_MORSKA_18;12.05.2023 16:00;12.05.2023 17:00;46,7603;46,8;-116;90,0162;99,9571;0,9799
;;44_KOS0001C_101L18_O_MORSKA_18;12.05.2023 17:00;12.05.2023 18:00;40,7031;46,7;-116;93,5847;100;1,0182
;;44_KOS0001C_101L18_O_MORSKA_18;12.05.2023 18:00;12.05.2023 19:00;40,9167;45,6;-116;90,5233;99,9753;0,9934
;;44_KOS0001C_101L18_O_MORSKA_18;12.05.2023 19:00;12.05.2023 20:00;37,295;45,6;-115;89,3226;100;0,9718
;;44_KOS0001C_101L18_O_MORSKA_18;12.05.2023 20:00;12.05.2023 21:00;36,0564;45,6;-116;86,8223;99,9693;0,9256
;;44_KOS0001C_101L18_O_MORSKA_18;12.05.2023 21:00;12.05.2023 22:00;37,4536;45,2;-117;94,8554;100;0,9228
;;44_KOS0001C_101L18_O_MORSKA_18;12.05.2023 22:00;12.05.2023 23:00;44,6111;45;-116;92,9063;100;0,8546
;;44_KOS0001C_101L18_O_MORSKA_18;12.05.2023 23:00;13.05.2023 00:00;40,0878;46,4;-116;94,8713;100;0,8493
;;44_KOS0001C_101L18_O_MORSKA_18;13.05.2023 00:00;13.05.2023 01:00;26,6447;46,3;-116;96,7071;100;0,8618
;;44_KOS0001C_101L18_O_MORSKA_18;13.05.2023 01:00;13.05.2023 02:00;14,7844;41,6;-116;97,5633;99,9472;0,909
;;44_KOS0001C_101L18_O_MORSKA_18;13.05.2023 02:00;13.05.2023 03:00;13,8342;41;-116;98,8569;100;0,9515
;;44_KOS0001C_101L18_O_MORSKA_18;13.05.2023 03:00;13.05.2023 04:00;15,8081;41,1;-116;98,184;100;0,8625
;;44_KOS0001C_101L18_O_MORSKA_18;13.05.2023 04:00;13.05.2023 05:00;19,9153;40,8;-117;95,2114;100;0,8255
;;44_KOS0001C_101L18_O_MORSKA_18;13.05.2023 05:00;13.05.2023 06:00;14,4008;41;-117;94,9914;100;0,8962
;;44_KOS0001C_101L18_O_MORSKA_18;13.05.2023 06:00;13.05.2023 07:00;14,7212;41,9;-117;91,2539;100;0,8902
;;44_KOS0001C_101L18_O_MORSKA_18;13.05.2023 07:00;13.05.2023 08:00;23,8592;42,4;-116;67,4946;99,9621;0,895
;;44_KOS0001C_101L18_O_MORSKA_18;13.05.2023 08:00;13.05.2023 09:00;22,3244;43,9;-115;90,9684;99,9516;0,9159
;;44_KOS0001C_101L18_O_MORSKA_18;13.05.2023 09:00;13.05.2023 10:00;32,6038;45,7;-116;85,7496;100;0,9117
;;44_KOS0001C_101L18_O_MORSKA_18;13.05.2023 10:00;13.05.2023 11:00;40,3216;46,5;-117;93,4704;99,9762;0,8928
;;44_KOS0001C_101L18_O_MORSKA_18;13.05.2023 11:00;13.05.2023 12:00;21,2153;46,7;-117;82,7256;100;1,0656
;;44_KOS0001C_101L18_O_MORSKA_18;13.05.2023 12:00;13.05.2023 13:00;35,6367;45,3;-117;91,9015;100;0,9415
;;44_KOS0001C_101L18_O_MORSKA_18;13.05.2023 13:00;13.05.2023 14:00;36,5437;45,3;-117;93,0726;99,9451;0,9711
;;44_KOS0001C_101L18_O_MORSKA_18;13.05.2023 14:00;13.05.2023 15:00;32,0478;45,3;-117;90,6382;99,9371;0,9911
;;44_KOS0001C_101L18_O_MORSKA_18;13.05.2023 15:00;13.05.2023 16:00;31,0922;45,2;-117;91,4268;99,9718;0,9931
;;44_KOS0001C_101L18_O_MORSKA_18;13.05.2023 16:00;13.05.2023 17:00;34,5911;45,2;-117;82,0826;99,9489;1,015
;;44_KOS0001C_101L18_O_MORSKA_18;13.05.2023 17:00;13.05.2023 18:00;37,4144;45,9;-117;93,3298;100;1,0698
;;44_KOS0001C_101L18_O_MORSKA_18;13.05.2023 18:00;13.05.2023 19:00;27,9544;45,6;-117;91,9255;100;0,9625
;;44_KOS0001C_101L18_O_MORSKA_18;13.05.2023 19:00;13.05.2023 20:00;37,4999;46,9;-117;94,8524;100;0,9147
;;44_KOS0001C_101L18_O_MORSKA_18;13.05.2023 20:00;13.05.2023 21:00;46,469;46,1;-116;94,6327;99,9789;0,9021
;;44_KOS0001C_101L18_O_MORSKA_18;13.05.2023 21:00;13.05.2023 22:00;45,0805;45;-116;93,8203;99,9785;0,8485
;;44_KOS0001C_101L18_O_MORSKA_18;13.05.2023 22:00;13.05.2023 23:00;45,0164;46,1;-116;94,0476;99,923;0,8675
;;44_KOS0001C_101L18_O_MORSKA_18;13.05.2023 23:00;14.05.2023 00:00;32,0789;44,8;-117;90,1011;100;0,87
;;44_KOS0001C_101L18_O_MORSKA_18;14.05.2023 00:00;14.05.2023 01:00;28,326;43,9;-117;77,4136;100;0,8029
;;44_KOS0001C_101L18_O_MORSKA_18;14.05.2023 01:00;14.05.2023 02:00;26,8941;44,1;-117;73,3378;100;0,7943
;;44_KOS0001C_101L18_O_MORSKA_18;14.05.2023 02:00;14.05.2023 03:00;25,8906;42,2;-117;97,247;100;0,866
;;44_KOS0001C_101L18_O_MORSKA_18;14.05.2023 03:00;14.05.2023 04:00;19,5654;41;-117;93,9283;100;0,908
;;44_KOS0001C_101L18_O_MORSKA_18;14.05.2023 04:00;14.05.2023 05:00;20,3111;41,9;-117;77,4086;99,9569;0,8555
;;44_KOS0001C_101L18_O_MORSKA_18;14.05.2023 05:00;14.05.2023 06:00;21,8097;41,3;-116;89,1124;99,8904;0,8448
;;44_KOS0001C_101L18_O_MORSKA_18;14.05.2023 06:00;14.05.2023 07:00;34,9119;42,3;-117;93,1932;99,9779;0,8569
;;44_KOS0001C_101L18_O_MORSKA_18;14.05.2023 07:00;14.05.2023 08:00;24,8861;42;-116;95,4384;100;0,9106
;;44_KOS0001C_101L18_O_MORSKA_18;14.05.2023 08:00;14.05.2023 09:00;28,7322;44,4;-115;95,8258;100;0,9318
;;44_KOS0001C_101L18_O_MORSKA_18;14.05.2023 09:00;14.05.2023 10:00;33,0867;45,7;-117;94,3156;100;0,9363
;;44_KOS0001C_101L18_O_MORSKA_18;14.05.2023 10:00;14.05.2023 11:00;36,1403;45,7;-116;92,1722;100;0,9329
;;44_KOS0001C_101L18_O_MORSKA_18;14.05.2023 11:00;14.05.2023 12:00;31,5057;46,8;-116;92,3181;100;0,956
;;44_KOS0001C_101L18_O_MORSKA_18;14.05.2023 12:00;14.05.2023 13:00;40,9247;45,9;-116;91,3488;100;0,9026
;;44_KOS0001C_101L18_O_MORSKA_18;14.05.2023 13:00;14.05.2023 14:00;42,1428;45,8;-116;91,7197;100;0,9507
;;44_KOS0001C_101L18_O_MORSKA_18;14.05.2023 14:00;14.05.2023 15:00;37,7869;44,9;-116;90,3267;100;0,9568
;;44_KOS0001C_101L18_O_MORSKA_18;14.05.2023 15:00;14.05.2023 16:00;34,0816;45,9;-115;84,8658;100;0,9305
;;44_KOS0001C_101L18_O_MORSKA_18;14.05.2023 16:00;14.05.2023 17:00;46,2053;46,9;-115;93,0635;100;0,8989
;;44_KOS0001C_101L18_O_MORSKA_18;14.05.2023 17:00;14.05.2023 18:00;44,2105;47,4;-115;92,4058;99,9185;0,8514
;;44_KOS0001C_101L18_O_MORSKA_18;14.05.2023 18:00;14.05.2023 19:00;45,9933;47,3;-115;84,8324;100;0,8805
;;44_KOS0001C_101L18_O_MORSKA_18;14.05.2023 19:00;14.05.2023 20:00;42,1319;47,5;-116;90,5254;99,9673;0,9183
;;44_KOS0001C_101L18_O_MORSKA_18;14.05.2023 20:00;14.05.2023 21:00;38,0017;47,3;-116;90,965;100;0,9148
;;44_KOS0001C_101L18_O_MORSKA_18;14.05.2023 21:00;14.05.2023 22:00;37,9172;47,3;-117;92,5028;100;0,8795
;;44_KOS0001C_101L18_O_MORSKA_18;14.05.2023 22:00;14.05.2023 23:00;32,6623;47,3;-116;93,0638;100;0,904
;;44_KOS0001C_101L18_O_MORSKA_18;14.05.2023 23:00;15.05.2023 00:00;31,7649;45,6;-115;94,304;100;0,8527
;;44_KOS0001C_101L18_O_MORSKA_18;15.05.2023 00:00;15.05.2023 01:00;30,6114;43,2;-116;96,5211;99,9747;0,8024
;;44_KOS0001C_101L18_O_MORSKA_18;15.05.2023 01:00;15.05.2023 02:00;26,0467;41,2;-116;97,8779;100;0,8402
;;44_KOS0001C_101L18_O_MORSKA_18;15.05.2023 02:00;15.05.2023 03:00;36,4009;41,7;-116;72,3641;100;0,7804
;;44_KOS0001C_101L18_O_MORSKA_18;15.05.2023 03:00;15.05.2023 04:00;39,7401;41,2;-116;98,0425;100;0,768
;;44_KOS0001C_101L18_O_MORSKA_18;15.05.2023 04:00;15.05.2023 05:00;15,7483;40,8;-117;96,5231;100;0,7385
;;44_KOS0001C_101L18_O_MORSKA_18;15.05.2023 05:00;15.05.2023 06:00;18,8286;41,1;-116;96,7422;99,9638;0,8377
;;44_KOS0001C_101L18_O_MORSKA_18;15.05.2023 06:00;15.05.2023 07:00;18,8878;41,6;-117;95,8305;100;0,8507
;;44_KOS0001C_101L18_O_MORSKA_18;15.05.2023 07:00;15.05.2023 08:00;27,7383;42,6;-116;90,7821;99,968;0,8879
;;44_KOS0001C_101L18_O_MORSKA_18;15.05.2023 08:00;15.05.2023 09:00;45,9453;44;-116;94,3877;99,9834;0,9124
;;44_KOS0001C_101L18_O_MORSKA_18;15.05.2023 09:00;15.05.2023 10:00;29,9405;44,3;-116;91,4478;100;0,914
;;44_KOS0001C_101L18_O_MORSKA_18;15.05.2023 10:00;15.05.2023 11:00;32,6481;44,8;-116;89,3809;99,9485;0,9153
;;44_KOS0001C_101L18_O_MORSKA_18;15.05.2023 11:00;15.05.2023 12:00;37,32;44,2;-116;92,2745;100;0,9471
;;44_KOS0001C_101L18_O_MORSKA_18;15.05.2023 12:00;15.05.2023 13:00;37,4272;44,4;-116;93,7963;99,9766;0,9356
;;44_KOS0001C_101L18_O_MORSKA_18;15.05.2023 13:00;15.05.2023 14:00;36,815;45,2;-115;86,1638;99,975;0,9203
;;44_KOS0001C_101L18_O_MORSKA_18;15.05.2023 14:00;15.05.2023 15:00;42,4669;46;-115;88,1885;99,9481;0,946
;;44_KOS0001C_101L18_O_MORSKA_18;15.05.2023 15:00;15.05.2023 16:00;43,2742;46,1;-115;88,1891;99,9752;1
;;44_KOS0001C_101L18_O_MORSKA_18;15.05.2023 16:00;15.05.2023 17:00;36,1808;45,7;-116;90,8034;100;0,9798
;;44_KOS0001C_101L18_O_MORSKA_18;15.05.2023 17:00;15.05.2023 18:00;41,8858;46,1;-116;91,2571;99,977;0,9323
;;44_KOS0001C_101L18_O_MORSKA_18;15.05.2023 18:00;15.05.2023 19:00;40,9311;47,1;-116;90,1367;100;0,9024
;;44_KOS0001C_101L18_O_MORSKA_18;15.05.2023 19:00;15.05.2023 20:00;38,7192;47,5;-116;89,0848;99,9684;0,8955
;;44_KOS0001C_101L18_O_MORSKA_18;15.05.2023 20:00;15.05.2023 21:00;33,9831;47,6;-116;90,4887;100;0,9024
;;44_KOS0001C_101L18_O_MORSKA_18;15.05.2023 21:00;15.05.2023 22:00;37,4861;47,5;-117;92,406;100;0,9303
;;44_KOS0001C_101L18_O_MORSKA_18;15.05.2023 22:00;15.05.2023 23:00;37,506;47,4;-117;93,0078;100;0,9462
;;44_KOS0001C_101L18_O_MORSKA_18;15.05.2023 23:00;16.05.2023 00:00;25,8264;45,1;-118;93,6209;99,9636;0,8826
;;44_KOS0001C_101L18_O_MORSKA_18;16.05.2023 00:00;16.05.2023 01:00;22,8425;41,5;-117;96,9753;100;0,8462
;;44_KOS0001C_101L18_O_MORSKA_18;16.05.2023 01:00;16.05.2023 02:00;28,4793;41,2;-118;97,8252;99,9785;0,8773
